7	5	3	5	3	4	4	3	6	4	7	3	7	5	4	6	6	3	3	3	5	1	3	5	5	5	5	5	2	6	3	4	3	2	5	5	3	3	2	5	3	4	2	2	21	3	1	1	1	2	4	999	0	4.3	3.4	0	1	0	0	0	0	0
8	6	3	4	3	5	4	3	6	2	6	3	6	6	5	6	6	4	3	3	4	3	3	6	6	7	7	6	6	5	4	7	7	2	2	4	5	3	4	4	3	4	3	2	19	1	3	4	4	3	2	999	0	6.1	3.4	0	0	1	0	0	0	0
10	6	2	6	3	6	4	3	6	5	7	3	6	4	4	7	7	7	1	2	6	2	3	5	2	5	4	4	3	5	3	5	4	2	2	7	4	4	4	5	2	3	5	2	18	3	1	3	1	2	1	999	0	4	3.8	0	1	0	0	0	0	0
14	5	1	6	3	3	3	3	2	2	5	3	6	2	4	7	7	2	3	3	3	3	3	4	3	5	5	6	3	5	3	7	3	5	2	6	6	5	5	5	5	6	5	2	18	1	5	3	1	2	2	999	0	4.4	5	0	0	1	0	0	0	0
15	7	3	2	3	7	7	3	7	3	7	3	7	7	5	7	6	2	2	3	1	3	3	5	4	5	5	6	6	7	2	7	7	5	4	5	6	4	3	5	3	5	4	2	18	1	5	5	3	3	1	999	0	5.4	4.4	0	0	1	0	0	0	0
16	7	3	1	3	7	7	3	7	1	7	3	7	6	6	7	6	1	3	3	2	3	3	7	7	7	7	7	7	7	7	7	7	2	1	2	7	1	2	7	2	2	1	2	18	3	1	1	1	1	1	999	0	7	2.7	0	1	0	0	0	0	0
21	5	3	5	3	5	2	3	5	4	5	2	5	4	4	6	5	6	1	2	6	3	1	5	3	5	5	5	3	6	3	5	5	6	6	6	3	5	5	3	5	4	5	2	21	3	1	1	1	1	3	999	0	4.5	4.8	0	1	0	0	0	0	0
22	6	3	4	3	5	6	3	6	4	6	3	7	5	6	6	3	4	1	3	6	3	2	6	4	7	7	6	6	6	3	7	7	4	3	4	5	3	5	6	4	2	3	2	18	1	3	4	1	2	1	999	0	5.9	3.9	0	0	1	0	0	0	0
23	4	1	1	3	1	4	2	2	4	3	3	6	1	5	7	6	5	1	1	6	2	3	7	3	7	6	5	3	6	3	5	5	5	5	7	2	6	6	5	4	7	7	2	18	1	5	4	4	2	1	999	0	5	5.4	0	0	1	0	0	0	0
24	6	3	6	3	4	4	3	4	5	6	3	6	2	6	7	7	5	3	3	6	3	1	6	6	6	6	6	7	6	4	7	6	1	7	6	5	3	5	2	3	2	4	2	18	3	3	3	6	1	999	2.74	0	6	3.8	0	1	0	0	0	0	0
27	3	1	1	3	2	4	1	2	4	3	1	5	1	5	5	5	5	1	1	3	2	2	4	3	5	5	4	2	4	1	4	3	5	5	6	4	5	3	4	5	5	6	2	18	1	4	4	3	2	1	999	0	3.5	4.8	0	0	1	0	0	0	0
28	5	2	4	3	4	4	3	5	4	5	2	5	4	4	6	5	5	1	2	5	2	2	5	3	5	5	4	3	5	5	6	4	3	5	6	3	5	5	4	5	2	5	2	19	8	4	4	1	1	2	999	0	4.5	4.3	0	0	0	1	0	0	0
31	5	3	5	3	4	4	3	4	5	5	3	4	4	4	7	6	5	1	2	5	2	1	4	4	5	4	5	3	4	3	4	4	4	5	7	4	5	5	3	4	5	6	1	18	3	3	3	999	2	1	999	0	4	4.8	0	1	0	0	0	0	0
32	7	3	5	3	7	6	3	7	1	7	3	7	7	4	7	7	1	1	3	7	3	3	6	4	6	7	6	6	7	1	1	7	4	5	7	6	2	6	4	1	4	4	1	18	1	3	4	1	3	1	999	0	5.1	4.3	0	0	1	0	0	0	0
35	4	2	4	2	4	4	1	4	3	3	2	4	3	5	5	5	5	1	2	4	2	2	4	4	4	3	4	5	4	4	4	4	2	2	2	3	4	3	2	6	2	2	1	19	1	3	3	6	2	2	999	0	4	2.8	0	0	1	0	0	0	0
